turn,Advanced Stateless Bot,Lulu,ZacRockBot,JetskiBot,OmniTitanBot,ElixirSmartBot,HomerSimpson,bee_35,DeepDream,XDDDDDDD8,oldDeepDream,pOtAtO,Simubot_fast,DeepDream_multi_cargo,3.0 flash python,OmniBot,Simubot,beatz,GoldDigger,_L_,python-medium bot,Starter bot 7,Starter bot 8,BOB,Hero,QH bot,Move 1,Prolog smarter bot,vitamindaddyreturns2,Elixir starter bot,Apollo,Rust starter bot,3.0 flash elixir,GreedyTrader_9083,Leighton v2.2.6,bee_494
1,move 7,move 7,move 7,move 7,move 7,move 7,move 7,move 7,DQ,move 7,move 7,move 7,move 7,move 7,move 7,move 1,move 0,move 7,move 1,move 7,move 1,move 1,move 1,move 1,move 7,move 7,move 1,move 7,move 7,move 1,move 7,move 7,move 1,move 7,move -5,move 7
2,move 1,move 1,move 1,move 1,move 1,move 1,move 7,move 1,DQ,move 1,move 1,move 7,move 1,move 1,buy 1,move 1,move 0,move 3,move 1,move 1,move -1,move 1,buy 0,move 1,move 1,move 1,move 1,move 1,move 1,move 1,move 1,move 1,move 1,move 1,buy 5,move 1
3,buy 1,buy 1,buy 1,buy 1,buy 1,buy 1,move 6,buy 1,DQ,buy 1,buy 1,move -6,buy 1,buy 1,move -7,move 1,move 0,buy 2,move -1,move 0,move 1,move 1,buy 0,move 1,buy 1,buy 1,move 1,buy 1,buy 1,move 1,buy 1,buy 1,move -1,buy 1,move 7,buy 1
4,move -5,move -5,move -5,move -5,move -5,move -5,buy 1,move -5,DQ,move -5,move -5,buy 1,move -5,move -5,move -6,move 1,move 0,move -6,move 1,move 0,move -1,move 1,buy 0,move 1,move -2,move 5,move 1,move -2,move -5,move 1,move -5,move -5,move 1,move -5,move 7,move -5
5,sell 1,sell 1,sell 1,sell 1,sell 1,sell 1,move -7,sell 1,DQ,sell 1,sell 1,move -5,sell 1,sell 1,sell 1,move 1,move 0,sell 2,move -1,move 0,move 1,move 1,buy 0,move 1,sell 1,move -7,move 1,sell 1,sell 1,move 1,sell 1,sell 1,move -1,sell 1,move 1,sell 1
6,move -2,move -2,move -2,move -2,move -2,move -2,move -1,move -2,DQ,move -2,move -2,sell 1,move -2,move -2,move 7,move 1,move 0,move -3,move 1,move 0,move -1,move 1,buy 0,move 1,move 2,move 3,move 1,move -5,move -2,move 1,move -2,move -2,move 1,move -2,buy 2,move -2
7,buy 2,buy 2,buy 2,buy 2,buy 2,buy 2,sell 1,buy 2,DQ,buy 2,buy 2,move -2,buy 2,buy 2,buy 1,move 1,move 0,buy 1,move -1,move 0,move 1,move 1,buy 0,move 1,buy 1,move 6,move 1,buy 1,buy 2,move 1,buy 2,buy 2,move -1,buy 2,move -6,buy 2
8,move 1,move 1,move 1,move 1,move 1,move 1,move -7,move 1,DQ,move 1,move 1,buy 2,move 1,move 1,move 1,buy 1,move 0,move 1,move 1,move 0,move -1,buy 1,buy 0,move 1,move -2,move -7,move 1,move -1,move 1,buy 1,move 1,move 1,move 1,move 1,sell 2,move 1
9,sell 2,sell 2,sell 2,sell 2,sell 2,sell 2,move -4,sell 2,DQ,sell 2,sell 2,move 1,sell 2,sell 2,sell 1,move 1,move 0,sell 1,move -1,move 0,move 1,move 1,buy 0,move 1,sell 1,move 5,move 1,sell 1,sell 2,move 1,sell 2,sell 2,move -1,sell 2,move -3,sell 2
10,move -1,move -1,move -1,move -1,move -1,move -1,buy 1,move -1,DQ,move -1,move -1,sell 2,move -1,move -1,move -1,move 1,move 0,move -1,move 1,move 0,move -1,move 1,buy 0,move 1,move 2,move -7,buy 8,move 7,move -1,move 1,move -1,move -1,move 1,move -1,buy 1,move -1
11,buy 7,buy 7,buy 7,buy 7,buy 7,buy 7,move 1,buy 7,DQ,buy 7,buy 7,move -1,buy 7,buy 7,buy 3,buy 1,move 0,buy 3,move -1,move 0,move 1,move 1,buy 0,move 1,buy 1,move 3,move 1,move 3,buy 7,move 1,buy 7,buy 7,move -1,buy 3,move 1,buy 7
12,move 1,move 1,move 1,move 1,move 1,move 1,sell 1,move 1,DQ,move 1,move 1,buy 7,move 1,move 1,move 1,move 1,move 0,move 1,move 1,move 0,move -1,move 1,buy 0,move 1,move -2,move 6,move 1,buy 1,move 1,move 1,move 1,move 1,move 1,move 1,sell 1,move 1
